,E.name,E.countries,total
4965,MAKRON HOLDINGS CORP.,Switzerland,1
4966,LLOYD Development Services S.A.,Liechtenstein,4
4967,HIENJER REAL ESTATE INC.,United Arab Emirates,2
4968,ORWELL Finance Corp.,Isle of Man,4
4969,OAKWOOD TRADING S.A.,Switzerland,4
4970,GILLIANE MANAGEMENT S.A.,Luxembourg,4
4971,BAVIDGE GLOBAL S.A.,Switzerland,1
4972,BANFORD INTERNATIONAL GROUP S.A.,Switzerland,1
4973,DUNSTAN INTERNATIONAL S.A.,Monaco,1
4974,JURNICE INCORPORATED,Switzerland,1
4975,P & A INVESTMENT SERVICES S.A.,Switzerland,1
4976,OVERLAND TRADING CONSULTANTS S.A.,Switzerland,1
4977,DECO DESIGN PANAMA S.A.,Switzerland,1
4978,QUATROVILLE GROUP S.A.,Uruguay,2
4979,DIPSY CORPORATION,Switzerland,1
4980,TOPICA HOLDING S.A.,Switzerland,1
4981,NARELSON CAPITAL INC.,Luxembourg,4
4982,COLANDA INVESTMENT CORPORATION S.A.,Switzerland,1
4983,BEAVERSON GLOBAL CORP.,Monaco,1
4984,ERN INVESTMENTS INCORPORATED,Switzerland,1
4985,ERIXON INTERNATIONAL CORP.,Switzerland,1
4986,GOLDEN CONCORDANCE HOLDINGS CORP.,Switzerland,1
4987,LUCKY WORLDWIDE ENTERPRISE CORP.,Switzerland,1
4988,GOLDEN BRIGHT INTERNATIONAL DEVELOPMENT INC.,Switzerland,1
4989,NIRVOX INCORPORATED,Switzerland,1
4990,RITOLLI S.A.,United Kingdom,4
4991,TECKSOM INTERNATIONAL S.A.,Switzerland,1
4992,ARDEN GLOBAL CORP.,Switzerland,1
4993,BARKFORD HOLDINGS S.A.,Luxembourg,4
4994,ATHOS WEALTH MANAGEMENT S.A.,Switzerland,2
4995,OZ EXPAT MANAGEMENT S.A.,Luxembourg,1
4996,BAUME TRADING S.A.,Luxembourg,4
4997,BROWNFIELD MARKETING S.A.,United Arab Emirates,1
4998,SILVERROSE MANAGEMENT INC.,Switzerland,4
4999,ZANICE INTERNATIONAL CORP.,Monaco,1
5000,ZUMA INTL GROUP S.A.,United Arab Emirates,2
5001,GOLDART EQUITIES S.A.,Monaco,1
5002,VERBENA INVESTMENT SERVICES INC.,Switzerland,1
5003,SNOWLAKE S.A.,Luxembourg,4
5004,QUEST INTERNATIONAL TRADING S.A.,Switzerland,1
5005,CROP INVESTMENTS S.A.,Luxembourg,4
5006,UNIFIRST INVESTMENTS SERVICES INC.,Switzerland,1
5007,SPAIN CONSULTING INC.,Switzerland,1
5008,MAGIC NIGHT HOLDINGS INC.,Switzerland,1
5009,HENDRICKS MANAGEMENT SERVICES CORP.,Switzerland,1
5010,WINBAY GROUP ASSOCIATES CORPORATION,Monaco,1
5011,FINTURA S.A.,Luxembourg,4
5012,Elite Gems Ltd.,United Arab Emirates,2
5013,QUARLEY TRADING CORP.,Uruguay,2
5014,JACKWOOD INTERNATIONAL HOLDINGS S.A.,Switzerland,1
5015,Real Master Inc.,Brazil,1
5016,ETERNAL SILVER GROUP S.A.,Switzerland,1
5017,CHRISTINA LTD. CORP.,Switzerland,1
5018,LEYMOND MANAGEMENT INC.,Bahamas,1
5019,FOREVER WINNER S.A.,Hong Kong,2
5020,ACY MARKETING INC.,Switzerland,4
5021,SANDFIELD CONSULTING S.A.,Switzerland,1
5022,WATERFORD ESTATES INC.,Switzerland,1
5023,SANDERS INVEST & TRADE CORP.,Cyprus,2
5024,MATHISON HOLDING GROUP LTD.,Switzerland,1
5025,FIMEXA HOLDING CORPORATION,Switzerland,1
5026,HOVARD INCORPORATED,Monaco,1
5027,VALERIANO CONSULT CORP.,Switzerland,1
5028,VALHALLA PROPERTIES CAPITAL INC.,Switzerland,1
5029,INVEST TECHNOLOGY SERVICES S.A.,Switzerland,1
5030,PHIPSON ASSETS INC.,Luxembourg,4
5031,KERGUELEN SHIPPING S.A.,United Kingdom,1
5032,BROXEN COMPANY CORP.,United Arab Emirates,1
5033,BRONSON MANAGEMENT INC.,Cyprus,2
5034,POLAR SYSTEMS GROUP INC.,Switzerland,4
5035,TIFO S.A.,Luxembourg,4
5036,BROOKDALE HOLDINGS GROUP INCORPORATED,Switzerland,1
5037,ELSFIELD HOLDINGS S.A.,Brazil,1
5038,RIVERPORT HOLDINGS S.A.,Brazil,1
5039,B2B PARTNERS S.A.,Switzerland,1
5040,VILLA ENGINEERING INC.,Switzerland,1
5041,PRIME CAPITAL INVEST S.A.,Monaco,1
5042,LIBA HOLDINGS FINANCE S.A.,Switzerland,1
5043,TEXORAMI PROPERTIES CORP.,Switzerland,1
5044,NUMCOM S.A.,Luxembourg,4
5045,PAOLO ASSET CORPORATION,Monaco,1
5046,TLS LOGISTIK AG,Switzerland,1
5047,ALBACORE GLOBAL GROUP CORP.,Panama,1
5048,JUNEBERRY S.A.,United Arab Emirates,4
5049,CHARTOCK FINANCE S.A.,Luxembourg,4
5050,AZTECA INTERNATIONAL ASSETS CORPORATION,Switzerland,4
5051,LUMNER GROUP S.A.,Luxembourg,4
5052,VALET CONSULTANTS INC.,Switzerland,1
5053,LUNGA INVESTMENTS CORP.,Switzerland,1
5054,BARFEEDER INTERNATIONAL S.A.,Spain,1
5055,LANZNER INC.,Luxembourg,2
5056,BAYFORD CONSULTING INC.,Luxembourg,4
5057,BLUEBELLA CO. CORP.,Switzerland,1
5058,SAMELIA FINANCE S.A.,Switzerland,1
5059,LINDOR ALLIANCE CORP.,Panama,4
5060,LIMBERT ENTERPRISES CORP.,Cyprus,1
5061,TILDEN INDUSTRIES INC.,Monaco,1
5062,PRISTINE TRADING GROUP CORP.,Switzerland,3
5063,LANCREST INTERNATIONAL S.A.,Switzerland,1
5064,MUNKINS CAPITAL CORPORATION,Monaco,1
5065,ABERDEEN BUSINESS INC.,Germany,4
5066,RUSHMOOR CAPITAL INC.,Luxembourg,4
5067,LELAND EQUITIES S.A.,Switzerland,1
5068,PEVERIL FINANCE CORP.,Uruguay,2
5069,GEA EQUITY INVESTMENTS INC.,Luxembourg,2
5070,AUGUSTA EQUITIES S.A.,Switzerland,8
5071,JACKSON HOLDINGS INCORPORATED,Switzerland,1
5072,TRIPLE ENERGY INC.,Luxembourg,4
5073,PROCYON SERVICES S.A.,Switzerland,1
5074,AVESON INC.,Luxembourg,4
5075,YANTANA SERVICES INC.,Switzerland,1
5076,CHARTERHOUSE MANAGEMENT INC.,Luxembourg,4
5077,EURO ADVERTISING S.A.,Switzerland,4
5078,LAYKER TRADING INC.,Switzerland,1
5079,LAARK COMPANY BUSINESS INC.,Switzerland,1
5080,GARVIS INC.,Luxembourg,4
5081,SAWOS FINANCE S.A.,Uruguay,2
5082,KAMOR INVESTMENTS CORP.,Switzerland,1
5083,OPIER MANAGEMENT S.A.,Switzerland,1
5084,BARRETT CORPORATION,Luxembourg,4
5085,MAINSTREET GROUP CORPORATION,Switzerland,1
5086,S Fortune Alliance Investment S.A.,Hong Kong,1
5087,BERRYWOOD INTERNATIONAL INC.,Switzerland,1
5088,GRAITHE COMPANY CORP.,Monaco,1
5089,ANIRATEC CORP.,Monaco,1
5090,Paulchen Corp.,Liechtenstein,1
5091,GUILDFORD TEAM S.A.,Luxembourg,4
5092,INVERNESS GLOBAL CORP.,Luxembourg,4
5093,HECKSON INTERNATIONAL CORP.,Hong Kong,4
5094,TANCROFT HOLDINGS INC.,Bahamas,4
5095,TAUTAVEL CORP.,Switzerland,4
5096,THORNET OVERSEAS CORP.,Luxembourg,4
5097,ZAKSPEED INC.,Luxembourg,4
5098,VALENCIA MARKETING S.A.,Luxembourg,4
5099,DRIFTER OVERSEAS S.A.,Switzerland,1
5100,CONCERTO OVERSEAS S.A.,Switzerland,1
5101,BATTAGLIA YACHTING CORP.,Monaco,1
5102,SYLT INCORPORATED,Panama,4
5103,LANDVILLE MANAGEMENT S.A.,Switzerland,1
5104,Stock Pot Promotion Inc.,Luxembourg,4
5105,BERTHA CONSULTANTS INC.,Luxembourg,4
5106,"NEWBURY INVESTMENT ASSOCIATES, S.A.",Switzerland,1
5107,LERON CONSULTANCY S.A.,Switzerland,1
5108,ORBITAL HOLDINGS GROUP CORP.,Uruguay,2
5109,ETERNAL PARTNERS S.A.,Luxembourg,4
5110,DUNTOWER EQUITIES S.A.,United Arab Emirates,1
5111,DUNROSE TRADING S.A.,Monaco,1
5112,LUCKY STAR EQUITIES S.A.,Switzerland,1
5113,CHARTEX MARKETING CORP.,Switzerland,1
5114,MALVARO INC.,Luxembourg,5
5115,ADELTON FINANCE INC.,Uruguay,2
5116,BANOM PROPERTIES INC.,Switzerland,1
5117,DIARRET ASSOCIATES CORP.,Switzerland,1
5118,TERFY BUSINESS CORP.,Monaco,1
5119,BAXLAND CORP.,Switzerland,4
5120,DRAGONALE CORP.,Luxembourg,1
5121,HARLAND & CIE. CORP.,Switzerland,4
5122,EGLIN INC.,Switzerland,1
5123,BARDINET TRADING INC.,Luxembourg,4
5124,VILLANOBILI S.A.,Italy,1
5125,DEPLECTAN BUSINESS S.A.,Panama,1
5126,SWISS BROKERS S.A.,Switzerland,4
5127,STACY ENTERPRISES INC.,Luxembourg,4
5128,JUNCAS HOLDINGS INC.,Panama,4
5129,LOBOSCO CORP.,Luxembourg,4
5130,LANDWIDE INTERNATIONAL INC.,Monaco,4
5131,BLUE WIND PROPERTIES S.A.,Switzerland,2
5132,HURSTBRIDGE INC.,Luxembourg,2
5133,CANANGA OVERSEAS INC.,Luxembourg,4
5134,PHAROS ASSOCIATES INC.,Luxembourg,4
5135,WELAND CORP.,Luxembourg,4
5136,WARI TRADING CORPORATION,Bahamas,10
5137,LOTUS INVESTISSEMENT ASSETS S.A.,Luxembourg,4
5138,SNOWVILLE OVERSEAS S.A.,Colombia,9
5139,SECLOR ASSOCIATES CORP.,Switzerland,1
5140,NFN GROUP INC.,Switzerland,1
5141,ARKO HOLDINGS INC.,Panama,4
5142,PERGILL CONSULTING CORP.,Switzerland,1
5143,MAJESTIC INVESTMENT CONSULTANT CORP.,Monaco,1
5144,CANOTTO INC.,Luxembourg,4
5145,"INTERGEST SERVICES, S.A.",Bahamas,4
5146,OBOURNE S.A.,Luxembourg,4
5147,TREEHILL SERVICES CORP.,Luxembourg,4
5148,FAR HILL GROUP INC.,Switzerland,1
5149,SIMCAS LTD.,Panama,2
5150,MANNING LTD.,Luxembourg,2
5151,MAROS EQUITIES CORP.,Luxembourg,4
5152,PERLITA DEVELOPMENTS S.A.,Luxembourg,4
5153,MURET DEVELOPMENT S.A.,Switzerland,1
5154,SK SHIPPING & FINANCE INC.,Luxembourg,4
5155,TIBOR SERVICES INC.,Switzerland,1
5156,DRAGO COMMERCIAL ENTERPRISES S.A.,Switzerland,1
5157,ASHIR OVERSEAS S.A.,Panama,2
5158,DEMBOLIA S.A.,Luxembourg,4
5159,Lord Equities S.A.,Switzerland,1
5160,FORTFIELD CONSULTING S.A.,Switzerland,1
5161,ALDWYN PORTFOLIO S.A.,Monaco,1
5162,TIDAL MANAGEMENT INC.,Brazil,1
5163,KENSIN INC.,Panama,4
5164,NEWSTONE MANAGEMENT INC.,Luxembourg,4
5165,SOUTH CONE TRADING S.A.,Uruguay,2
5166,MEDIA REPORT INC.,Switzerland,1
5167,RUSSELL BUSINESS INC.,Switzerland,1
5168,GORAN REAL ESTATES CORP.,Switzerland,1
5169,ECKLAND PROMOTION INC.,United Kingdom,4
5170,CASSIOPEA GROUP CORP.,Panama,4
5171,ELMONA INC.,Panama,4
5172,PHARMAMED HEALTHCARE CORP.,Colombia,4
5173,CHANTELEAU ENGINEERING CORP.,Switzerland,1
5174,CRONOVA DEVELOPMENT S.A.,United Arab Emirates,4
5175,DILMART CORP.,Luxembourg,4
5176,GRENNOCK S.A.,Panama,4
5177,MARTEN MANAGEMENT INC.,Switzerland,4
5178,STRAWBERRY TRADING INC.,Switzerland,1
5179,PROPERTY INVESTMENT TEAM S.A.,Switzerland,4
5180,GERBERA ENTERPRISES CORP.,Luxembourg,4
5181,ALFIDA ESTATES INCORPORATED,Switzerland,1
5182,STELLAND HOLDING S.A.,Switzerland,1
5183,BANTADO SERVICES S.A.,Monaco,1
5184,BLENHEIM INTERNATIONAL TRADING CO. S.A.,Switzerland,1
5185,VALERE INTERNATIONAL CO. INC.,Switzerland,1
5186,WAKEFIELD PROPERTY MANAGEMENT S.A.,Switzerland,1
5187,LICORNE TRADING COMPANY INC.,Luxembourg,4
5188,ECOLAND OVERSEAS CORP.,Chile,1
5189,BURLINGTON INVESTORS CORP.,Luxembourg,4
5190,ICJ VENTURE.TEAM INC.,Monaco,1
5191,SUFFOLK BUSINESS INC.,Luxembourg,4
5192,ELODIA REAL ESTATE S.A.,Luxembourg,4
5193,BRIT SKY SERVICES INC.,Belize,1
5194,GARUN OVERSEAS CORP.,Switzerland,1
5195,ABC Management & Consulting S.A.,Panama,4
5196,VIANA PROPERTIES S.A.,Panama,1
5197,MANTING HOLDINGS CORP.,Switzerland,1
5198,HILLREY ASSETS S.A.,Luxembourg,4
5199,TINGITANE OVERSEAS INC.,Panama,1
5200,CARVELLE INTERNATIONAL INC.,Luxembourg,4
5201,RED BLUE PLAZA INTERNATIONAL CORP.,Belize,2
5202,AXION ASSET MANAGEMENT S.A.,Uruguay,2
5203,INFONET ALLIANCE S.A.,Switzerland,2
5204,BLUE TOWER PROPERTIES S.A.,Switzerland,1
5205,PESAROT INC.,Switzerland,1
5206,GEMALA S.A.,Turkey,4
5207,QUERRIN CONSULTANTS CORP.,Spain,1
5208,ARCTIC VENTURE PARTNERS INC.,Monaco,1
5209,SEFIMA S.A.,Switzerland,1
5210,BLENHEIM ASSET MANAGEMENT CORP.,Switzerland,1
5211,BANTANA INC.,Luxembourg,2
5212,HERKIME CONSULTING S.A.,Luxembourg,4
5213,MIKOL COMPANY S.A.,Switzerland,1
5214,LOVCICE INCORPORATED,Switzerland,4
5215,ZYBACH TRADING CORP.,Switzerland,2
5216,AVENTURIN TRADING S.A.,Luxembourg,4
5217,HOWLITH CORP.,Luxembourg,4
5218,KORMAW INVESTMENTS CORP.,Switzerland,1
5219,TYFER BUSINESS INDUSTRIES CORP.,Switzerland,1
5220,KURFIELD INC.,Switzerland,4
5221,PELICAN INVESTMENTS LIMITED,Hong Kong,4
5222,BELIER INVESTMENTS CORP.,Monaco,1
5223,KANLOR RESOURCES INC.,Brazil,2
5224,MARTOCK HOLDINGS S.A.,Switzerland,4
5225,CEDARWEST EQUITIES INC.,Switzerland,1
5226,LEXFORD TRADING CORPORATION,United Arab Emirates,1
5227,PINO TEAM CORPORATION,Monaco,1
5228,SWISS MANAGEMENT S.A.,Panama,4
5229,HIDONA INVESTMENT CORP.,Switzerland,1
5230,THEYDON PETROLEUM S.A.,Switzerland,9
5231,POL ENGINEERING INC.,Switzerland,1
5232,NIDALE CORP.,Luxembourg,4
5233,KABBANA INVESTMENTS WORLD CORP.,Switzerland,1
5234,SKYRE ASSETS INC.,Switzerland,1
5235,TIPPIT GROUP S.A.,Switzerland,1
5236,LASHIMA PROPERTIES CAPITAL CORP.,Switzerland,1
5237,BELORME INTERNATIONAL S.A.,Switzerland,1
5238,LATTICA TRADING INC.,Switzerland,1
5239,MEELEITH HOLDINGS INC.,Switzerland,2
5240,DORENCE INC.,Switzerland,4
5241,KOIN ASSET MANAGEMENT S.A.,Switzerland,1
5242,FLOWERS CAPITAL TEAM S.A.,Monaco,3
5243,PERGAMON TRAVEL COMPANY S.A.,Switzerland,1
5244,URSUS ASSOCIATES CORP.,Luxembourg,4
5245,DELTA BOX ASSETS CORP.,Monaco,1
5246,QUEST DEVELOPMENTS INC.,Switzerland,1
5247,COMWIN INVESTMENTS INC.,Liechtenstein,4
5248,RUNSHINE TRADE INC.,Switzerland,1
5249,RUBINGOOD CORP.,United Arab Emirates,2
5250,CROSSLEY LTD.,Switzerland,4
5251,LOCKHEED TRADING CORP.,Panama,4
5252,P.W. INTERNATIONAL CORP.,Monaco,1
5253,Prime Atlantis S.A.,Netherlands,1
5254,ABBYS ASSETS S.A.,Luxembourg,4
5255,RYLF MANAGEMENT S.A.,Switzerland,1
5256,SFER CONSULTANTS GLOBAL CORP.,Switzerland,1
5257,AUVILLAS SERVICES S.A.,Switzerland,1
5258,DRAHILL ASSET MANAGEMENT INC.,Switzerland,4
5259,ORMICA CONSULTING INC.,Gibraltar,1
5260,Horslimite International S.A.,Switzerland,2
5261,JULIUS TRADING CORP.,Switzerland,1
5262,HORSWAY INC.,Luxembourg,4
5263,KARGANA INC.,Luxembourg,4
5264,ROSSVILLE INC.,Luxembourg,2
5265,GLIDENVAL INC.,Luxembourg,2
5266,DIDGERIDOO LTD.,Panama,2
5267,DORWAY INC.,Switzerland,2
5268,VANONA INC.,Luxembourg,2
5269,HASTINGS DEVELOPMENT S.A.,Switzerland,2
5270,ASCOT INDUSTRIES CORP.,Switzerland,1
5271,TUSCARORA S.A.,Luxembourg,4
5272,FREIDA S.A.,United Arab Emirates,1
5273,YOKAN COMPANY INC.,Monaco,1
5274,NORIA REAL ESTATE CORP.,Luxembourg,4
5275,DILLION INC.,Luxembourg,2
5276,LEO HOLDINGS 2008) CORPORATION,Jersey,4
5277,JEN ASSOCIATES INCORPORATED,Switzerland,2
5278,DAMIAN ASSOCIATES CORPORATION,Luxembourg,4
5279,MAC BUSINESS CORPORATION,Switzerland,1
5280,ROSERIN INTERNATIONAL CORP.,Monaco,1
5281,LOTSUM HOLDINGS RESOURCES S.A.,Switzerland,1
5282,HURON INVESTMENT MANAGEMENT SERVICES CORP.,Switzerland,1
5283,GERBONTE INC.,Luxembourg,4
5284,WINMAN PROPERTIES S.A.,Luxembourg,4
5285,INTER INVEST S.A.,Switzerland,1
5286,FINACON INVESTMENTS LIMITED,Switzerland,1
5287,GELFON INTERNATIONAL LTD.,Switzerland,4
5288,BLOOM REAL ESTATES CORP.,Brazil,1
5289,ORKWEY TRADING INCORPORATED,Guatemala,4
5290,JANNA INTERNATIONAL TEAM CORP.,Bahamas,4
5291,TRENCH CENTURY CORP.,Uruguay,2
5292,POWERFIELD COMPANY INC.,Switzerland,1
5293,JOELLE MARKETING CORP.,Switzerland,1
5294,HELOT COMPANY LIMITED,Panama,2
5295,SKYTECH MEDICAL TECHNOLOGIES INC.,Brazil,2
5296,KERALT GLOBAL CORP.,Switzerland,1
5297,ROPER SERVICES CORP.,Switzerland,1
5298,SEDATA ENGINEERING S.A.,Switzerland,1
5299,PERTHWAY INC.,Switzerland,4
5300,BRIGHTON COMPANY CORP.,Switzerland,1
5301,RODMAN TRADING INC.,Greece,1
5302,MUCURIPE S.A.,Luxembourg,4
5303,CHARTER MAX INVESTMENT S.A.,Switzerland,1
5304,INYALA CORP.,Panama,2
5305,TORFU CORP.,Luxembourg,4
5306,LUMEN ASSETS S.A.,Luxembourg,4
5307,"LAMBETH CAPITAL, S.A.",Bahamas,1
5308,PARSON CONSULTING S.A.,Bahamas,1
5309,CHARTLEY CO. S.A.,Switzerland,1
5310,ARENA ASSET MANAGEMENT CORP.,Switzerland,9
5311,LUNAR INCORPORATED,Switzerland,1
5312,SELBECK ALLIANCE CORPORATION,Switzerland,1
5313,TYBALT CONSULTING S.A.,Switzerland,1
5314,LENFORD S.A.,Panama,2
5315,LUCKY CHARM VENTURES S.A.,Luxembourg,2
5316,VALOR MANAGEMENT CORP.,Luxembourg,2
5317,AMLOS CORP.,Switzerland,1
5318,ULRO INTERNATIONAL S.A.,Monaco,3
5319,PIRMENCE ASSETS INC.,Switzerland,1
5320,LES CARRIÈRES CORP.,Luxembourg,2
5321,MAGENTA CORPORATION,United Kingdom,7
5322,TENERIVER INC.,Luxembourg,2
5323,TECKWISE INC.,Luxembourg,2
5324,MESYLA INC.,Switzerland,1
5325,LENNOY S.A.,Luxembourg,4
5326,KARA EQUITIES INC.,Luxembourg,2
5327,TRINITY CONSULTANTS CORP.,Luxembourg,4
5328,COLOGNE ENGINEERING INCORPORATED,Switzerland,1
5329,FABRINA INVESTMENTS INC.,Switzerland,1
5330,ATTKINSON ASSOCIATES INC.,Switzerland,1
5331,E.M.H.O.S.V.  S.A.,Switzerland,2
5332,IVERSON MANAGEMENT INC.,Switzerland,1
5333,DONALDSON GROUP S.A.,Luxembourg,4
5334,ROOSE CONSULTANCY INCORPORATED,Switzerland,1
5335,FULTON ASSETS GLOBAL INC.,Switzerland,1
5336,ROYHILL TRADING INC.,Panama,2
5337,LUCKY SHOT S.A.,Luxembourg,4
5338,LUGER DEVELOPMENT S.A.,Switzerland,1
5339,CHANTELEAU GROUP CORP.,Switzerland,2
5340,AMBRELEAU FINANCE INC.,Switzerland,1
5341,HYAZINTH S.A.,Luxembourg,4
5342,BLENHEIM ENTERPRISES SERVICES INC.,Switzerland,1
5343,AVION MANAGEMENT CORP.,Panama,3
5344,ALARION INTERNATIONAL INC.,Monaco,1
5345,BOLTON CAPITAL PARTNERS CORP.,Monaco,1
5346,HANAAH HOLDING S.A.,Luxembourg,4
5347,GRID S.A.,Luxembourg,1
5348,HAMPCO GROUP INC.,Switzerland,1
5349,LOWGATE SYSTEMS S.A.,Switzerland,4
5350,Follow Spot International S.A.,Switzerland,2
5351,LOGO PORTFOLIO S.A.,Luxembourg,4
5352,EURODESIGN HOLDING INC.,Luxembourg,1
5353,PORTLAND HOLDINGS LIMITED,United Kingdom,7
5354,BIOMART INC.,Panama,4
5355,ORINVEST COMPANY INC.,Brazil,2
5356,STEEPLE TECHNOLOGIES S.A.,United Arab Emirates,1
5357,YANTIS CONTINENTAL CORP.,Singapore,1
5358,ULBRIGHT HOLDINGS CORP.,Monaco,1
5359,MENDMIND LTD CORP.,Switzerland,1
5360,SEGOVIA HOLDINGS BUSINESS INC.,Switzerland,1
5361,FLOUVE INC.,Luxembourg,4
5362,DANIO ENTERPRISES GROUP Corp.,Switzerland,1
5363,PALIMKA LTD.,Panama,2
5364,BROOKLEY FINANCE INC.,Switzerland,4
5365,ARLEN TRADING INC.,Switzerland,1
5366,DEVON GLOBAL INVESTMENTS INC.,Switzerland,1
5367,JUVELL TRADING CORP.,Switzerland,1
5368,COMTEL CAPITAL S.A.,Switzerland,1
5369,ROSEWOOD CAPITAL INVESTMENTS CORP.,Switzerland,1
5370,TEMPLESDEN INC.,Luxembourg,2
5371,BARDALE INC.,Luxembourg,2
5372,BORKUM S.A.,Luxembourg,3
5373,LANFORT BUSINESS S.A.,Luxembourg,4
5374,EQUIPORTFOLIO S.A.,Luxembourg,4
5375,EASTFORT GROUP S.A.,Luxembourg,4
5376,Santa Cruz Holdings Corp.,Belize,1
5377,THYNE DEVELOPMENT LTD.,Ecuador,4
5378,ROKA RWANDA COLUMBO TANTALITE COLTAN CORP.,Switzerland,29
5379,NEOZ INTERNATIONAL S.A.,Switzerland,1
5380,ORIO ASSOCIATES CORP.,Switzerland,1
5381,JANA TECHNOLOGIES INC.,Switzerland,1
5382,PHELK REAL ESTATES CORP.,Switzerland,1
5383,GOLDSKY INC.,United Kingdom,6
5384,LATUS COMPANY S.A.,Switzerland,1
5385,MIMI PARTNERS INC.,Luxembourg,4
5386,LONTON INVEST & TRADE INC.,Cyprus,4
5387,AINOWOOD S.A.,Luxembourg,4
5388,NEVOX INC.,Luxembourg,4
5389,PINKBUTTERFLY INC.,Switzerland,1
5390,CHTI MANAGEMENT CORP.,Switzerland,1
5391,GOLDEN KEY TRADING ASSETS INC.,Monaco,1
5392,BAOBAB GROUP INVESTMENTS S.A.,Switzerland,1
5393,BLUE SKY INDUSTRIES S.A.,Switzerland,1
5394,POWELL INTERNATIONAL CORPORATION,Bahamas,1
5395,SALISBURY HOLDINGS ASSETS LTD. CORP.,Switzerland,1
5396,FAREHAM REAL ESTATE S.A.,Luxembourg,4
5397,JANNET BUSINESS CORPORATION,Switzerland,1
5398,PLECAN TRADING CORP.,Switzerland,1
5399,P.A. TRADING CORP.,Switzerland,1
5400,CONCEPT TECHNOLOGY HOLDING INC.,Switzerland,1
5401,MAYAK COMPANY S.A.,Switzerland,1
5402,NICE CHEER INVESTMENT CORP.,Switzerland,1
5403,P & R MANAGEMENT SERVICES S.A.,Switzerland,1
5404,NICE DAY INVESTMENTS CORP.,Switzerland,1
5405,GOLDEN LEAF DEVELOPMENTS CORP.,Switzerland,1
5406,CORNELIA ENTERPRISES INC.,Monaco,1
5407,Z. I. INTERNATIONAL S.A.,Switzerland,1
5408,RIDERWOOD FINANCE S.A.,Switzerland,1
5409,DARFOSS ASSETS CORP.,Switzerland,1
5410,NIMAR HOLDING CORPORATION,Switzerland,1
5411,PORTO PETRO S.A.,Luxembourg,4
5412,TORDERA GLOBAL INC.,Luxembourg,4
5413,BURBROOKE INTERNATIONAL S.A.,Switzerland,1
5414,ALCOM TEAM S.A.,Luxembourg,4
5415,TAC ASSOCIATES S.A.,Monaco,2
5416,BRAUDIS TRADING S.A.,Switzerland,1
5417,PORTICO PROPERTIES S.A.,Bahamas,2
5418,ROS TECHNOLOGIES INC.,Switzerland,1
5419,TARGA CONSULTANTS CORP.,Seychelles,1
5420,STAVANGER ESTATES INC.,Lebanon,1
5421,ASHAWAY ENTERPRISES S.A.,Italy,4
5422,SECERCE INC.,Luxembourg,2
5423,ROSLEEN DEVELOPMENTS S.A.,Costa Rica,4
5424,WEARYNE INTERNATIONAL INC.,Monaco,1
5425,ILIAR TRADING S.A,Switzerland,1
5426,FEDESTEIN HOLDING INC.,Switzerland,2
5427,FOXHILL CAPITAL S.A.,Uruguay,2
5428,AXFORD INVESTMENTS INC.,Bahamas,4
5429,VORSTEN FINANCE INC.,Brazil,1
5430,SEFINVEST ADVISORS CO. S.A.,Switzerland,1
5431,TECHSTAR INVESTMENTS CORP.,Switzerland,1
5432,SELKIRK RESOURCES S.A.,Switzerland,1
5433,MONT LAURA INVESTISSEMENTS INC.,Switzerland,1
5434,KETCHUM CONTINENTAL CORP.,Switzerland,1
5435,FORTUNE ASSETS GROUP S.A.,Monaco,1
5436,TAMWIN SERVICES CORP.,Bahamas,4
5437,MILZART OVERSEAS HOLDINGS INC.,Monaco,1
5438,DATA INPUT INC.,Panama,4
5439,GENIE INTERNATIONAL INC.,Switzerland,1
5440,MOUNTFIELD PROPERTIES S.A.,Switzerland,1
5441,COLMAN HOLDING INC.,Switzerland,4
5442,OSWOOD INVESTMENTS CORP.,Switzerland,1
5443,TRAVIFER HOLDING INC.,Switzerland,1
5444,DHRUN REAL ESTATE S.A.,Switzerland,2
5445,TRAVIS TEAM INC.,Panama,4
5446,ACADIA INTERNATIONAL GROUP INC.,Bahamas,1
5447,JANNOCK INVESTMENTS CORP.,Monaco,1
5448,B&B YACHTING CORP.,Luxembourg,4
5449,ISLEY INVESTMENTS CORP.,Bahamas,1
5450,QUINVALE ENTERPRISES INC.,Switzerland,1
5451,CETUS INDUSTRIES CORP.,Switzerland,2
5452,BLUE SEA ENTERPRISES CORP.,Panama,4
5453,TARKETT INVESTMENTS INC.,Monaco,1
5454,CROMWELL HOLDINGS INVESTMENT S.A.,Switzerland,2
5455,VELA INVESTMENTS CORPORATION,Switzerland,4
5456,SEGALA INVESTMENTS PORTFOLIO S.A.,Switzerland,1
5457,BARE HOLDINGS CORP.,Switzerland,1
5458,BANLAND INC.,Luxembourg,4
5459,CHINELLA INC.,Luxembourg,4
5460,ALTAMIRA EQUITIES S.A.,Luxembourg,4
5461,GAIANS HOLDING EQUITIES CORP.,Switzerland,1
5462,AFCCOTRADE INTERNATIONAL CORP.,Switzerland,1
5463,RODEL CAPITAL S.A.,Bahamas,3
5464,BRIDLINGTON ASSOCIATED INC.,Switzerland,1
5465,ABACA GLOBAL CORP.,Switzerland,1
5466,TRAVIS DEVELOPMENTS S.A.,Switzerland,1
5467,SHREVEPORT HOLDINGS S.A.,Switzerland,1
